Id;Default;en;de;fr;es;zh
Err_8988;F-Parameter configuration and address switch value do not match -> Check I/O module F-Parameter configuration and module address switch value.;F-Parameter configuration and address switch value do not match -> Check I/O module F-Parameter configuration and module address switch value.;Konfiguration für F-Parameter und Wert des Adressschalters stimmen nicht überein -> Konfiguration für F-Parameter des E/A-Moduls und Wert des Adressschalters überprüfen.;;;F ????????????? -> ?? I/O ?? F ????????????.
Err_9249;Timeout while waiting for Reset;Timeout while waiting for Reset;Timeout beim Warten auf Zurücksetzen;;;???????
Err_9258;Breakdown, communication lost;Breakdown, communication lost;Ausfall, Kommunikation unterbrochen;;;??,????
Err_9480;I/O module removed from hotswap terminal unit or defective module on hotswap terminal unit -> Plug I/O module, replace I/O module;I/O module removed from hotswap terminal unit or defective module on hotswap terminal unit -> Plug I/O module, replace I/O module;E/A-Modul von Hotswap-Terminal-Einheit entfernt oder defektes Modul an Hotswap-Terminal-Einheit -> E/A-Modul einstecken, E/A-Modul austauschen;;;I/O ??????????????,??????????????? -> ?? I/O ??,?? I/O ??
Err_9500;Wrong I/O module plugged on hotswap terminal unit -> Remove wrong I/O module and plug projected I/O module;Wrong I/O module plugged on hotswap terminal unit -> Remove wrong I/O module and plug projected I/O module;Falsches E/A-Modul an Hotwwap-Terminal-Einheit eingesteckt -> Falsches E/A-Modul entfernen oder projektiertes E/A-Modul einstecken;;;?????????????? I/O ?? -> ????? I/O ???????? I/O ??
Err_9514;No communication with I/O module on hotswap terminal unit -> Replace I/O module;No communication with I/O module on hotswap terminal unit -> Replace I/O module;Keine Kommunikation mit E/A-Modul an Hotswap-Terminal-Einheit -> E/A-Modul austauschen;;;???????????? I/O ???? -> ?? I/O ??
Err_9526;I/O module does not support hotswap functionality -> Power off system and replace I/O module;I/O module does not support hotswap functionality -> Power off system and replace I/O module;E/A-Modul unterstützt keine Hotswap-Funktion -> System abschalten und E/A-Modul austauschen;;;I/O ?????????? -> ????????? I/O ??
Err_9736;hotswap terminal unit required but not found;hotswap terminal unit required but not found;Hotswap-Terminal-Einheit erforderlich, jedoch nicht gefunden;;;?????????????
Err_9764;Defective hotswap terminal unit;Defective hotswap terminal unit;Defekte Hotswap-Terminal-Einheit;;;??????????
Err_9770;No communication with hotswap terminal unit -> Restart, if error persists replace terminal unit;No communication with hotswap terminal unit -> Restart, if error persists replace terminal unit;Keine Kommunikation mit Hotswap-Terminal-Einheit -> Neu starten, falls Fehler weiterhin besteht, Terminal-Einheit austauschen;;;???????????? -> ????,????????,???????
Hwd_14;I/O bus;I/O bus;E/A-Bus;;;I/O ??
Sub1_;Module;Module;Modul;;;??
Sub2_;Channel;Channel;Kanal;;;??
;;;;;;
