Id;Default;en;de;fr;es;zh
Err_40;Value of parameter $"Reboot on E2$" is not in range;Value of parameter $"Reboot on E2$" is not in range;Wert von Parameter ÑNeu starten bei E2ì liegt auﬂerhalb des zul‰ssigen Bereichs;;;??ì? E2 ?????î???????
Err_41;PLC went to reboot due to occurence of an E2 error;PLC went to reboot due to occurence of an E2 error;SPS ist aufgrund eines E2-Fehlers neu gestartet;;;???? E2 ??,PLC ????
Err_42;No boot project loaded;No boot project loaded;Kein Boot-Projekt geladen;;;???????
Err_43;Boot project loaded;Boot project loaded;Boot-Projekt geladen;;;???????
Err_44;Loading boot project failed due to failing load of retain data;Loading boot project failed due to failing load of retain data;Laden von Boot-Projekt aufgrund von Fehler beim Laden von Retain-Daten fehlgeschlagen;;;??????????,????????
Err_45;Loading boot project failed due to mismatch of retain data;Loading boot project failed due to mismatch of retain data;Laden von Boot-Projekt aufgrund einer Diskrepanz der Retain-Daten fehlgeschlagen;;;?????????,????????
Err_46;Loading boot project failed due to insufficient license for application;Loading boot project failed due to insufficient license for application;Laden von Boot-Projekt aufgrund einer unzureichenden Anwendungslizenz fehlgeschlagen;;;???????????,????????
Err_47;Loading boot project failed due to unspecified reason;Loading boot project failed due to unspecified reason;Laden von Boot-Projekt aus unbekanntem Grund fehlgeschlagen;;;??????,????????
Err_48;Backup failed;Backup failed;Backup fehlgeschlagen;;;????
Err_49;Restore failed;Restore failed;Wiederherstellung fehlgeschlagen;;;????
Err_50;Invalid value of parameter $"Enable diagnosis history$";Invalid value of parameter $"Enable diagnosis history$";Ung¸ltiger Wert f¸r Parameter ÑDiagnosehistorie aktivierenì;;;??ì????????î????
Err_51;Invalid value of parameter $"Maximum number of entries in diagnosis history$";Invalid value of parameter $"Maximum number of entries in diagnosis history$";Ung¸ltiger Wert f¸r Parameter ÑMaximale Anzahl von Eintr‰gen in Diagnosehistorieì;;;??ì?????????????î????
Err_52;Invalid value of parameter $"Maximum size of extended diagnosis data in diagnosis history$";Invalid value of parameter $"Maximum size of extended diagnosis data in diagnosis history$";Ung¸ltiger Wert f¸r Parameter ÑMaximale Grˆﬂe von erweiterten Diagnosedaten in Diagnosehistorieì;;;??ì??????????????????î????
Err_53;System partition free space has fallen below pre-warn threshold -> Please contact your ABB representative to fix this issue;System partition free space has fallen below pre-warn threshold -> Please contact your ABB representative to fix this issue;Freier Speicherplatz der Systempartition ist unter Vorwarngrenze gesunken -> Zur Behebung dieses Problems entsprechenden ABB-Vertreter kontaktieren;;;????????????????? -> ????? ABB ????????
Err_54;System Partition has run out of space -> Please contact your ABB representative to fix this issue and replace the CPU as soon as possible;System Partition has run out of space -> Please contact your ABB representative to fix this issue and replace the CPU as soon as possible;Systempartition hat keinen Speicherplatz mehr -> Zur Behebung dieses Problems entsprechenden ABB-Vertreter kontaktieren und schnellstmˆglich CPU austauschen;;;????????? -> ????? ABB ????????,?????? CPU
Err_55;IEC project prevented from going to RUN mode, see PLC log for details;IEC project prevented from going to RUN mode, see PLC log for details;;;;
Err_8;Empty or missing;Empty or missing;Leer oder fehlt;;;????
Err_9;Medium has used 80% of its spare capacity;Medium has used 80% of its spare capacity;80 % der freien Kapazit‰t von Medium belegt;;;??????????? 80%
Hwd_0;CPU;CPU;CPU;;;CPU
Sub1_0;CPU;CPU;CPU;;;CPU
Sub1_14;I/O bus;I/O bus;E/A-Bus;;;I/O ??
Sub1_19;Flashdisk;Flashdisk;Flashdisk;;;??
Sub1_21;Display;Display;Anzeige;;;??
Sub1_22;Battery;Battery;Batterie;;;??
Sub2_0;Device;Device;Ger‰t;;;??
Sub2_2;Parameter;Parameter;Parameter;;;??
Sub2_5;Index;Index;Index;;;??
Sub2_6;Application;Application;Anwendung;;;????
Sub2_7;Bootproject;Bootproject;;;;
Sub2_8;Component;Component;;;;
Sub4_1;too big;too big;zu groﬂ;;;??
Sub4_2;too small;too small;zu klein;;;??
Sub4_3;unequal;unequal;ungleich;;;???
Sub4_4;equal;equal;gleich;;;??
;;;;;;
